Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Brazil,Brunei,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Cote d'Ivoire,Croatia,Cruise Ship,Cuba,Cyprus,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Equatorial Guinea,Estonia,Eswatini,Ethiopia,Finland,France,French Guiana,Gabon,Georgia,Germany,Ghana,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guyana,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Latvia,Lebanon,Liberia,Liechtenstein,Lithuania,Luxembourg,Malaysia,Maldives,Malta,Martinique,Mauritania,Mayotte,Mexico,Moldova,Monaco,Mongolia,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nigeria,North Macedonia,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Reunion,Romania,Russia,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Singapore,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Taiwan*,Tanzania,Thailand,The Bahamas,Togo,Trinidad and Tobago,Tunisia,Turkey,US,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,occupied Palestinian territory
16.0,,54.0,,,,,,15.0,1018.0,,214.0,,,1.0,,,,,,,,,1.0,,7.0,,,44386,,,,,,57.0,705.0,,,,,,,3.0,,,,,1.0,11.0,,,,16.0,,,,,,,,,,,,,,3.0,,8042.0,116.0,,131.0,3.0,,26,,,,,28,,112.0,,61.0,,,,,19.0,,,,,,,,,,,,1.0,,,,,,22.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,50.0,,,,,2.0,1.0,,,1.0,2200.0,18,,33,,,,,,12,,9.0,9.0,,,,15.0,
21.0,,,,,,,,15.0,,,214.0,,,1.0,,,,,,,,,1.0,,7.0,,,44759,,,,,,,705.0,,,,,,,15.0,,,,,1.0,11.0,,,,16.0,,,,,,,,,,,,,,3.0,,9000.0,124.0,,161.0,20.0,,28,,,,,28,,123.0,,77.0,,,,,22.0,,,,,,,,,,,,1.0,,,,,,22.0,,,,,3.0,,,,,,,,2.0,,,,,,,,,58.0,,,,,2.0,1.0,,,1.0,,18,,33,,,,,,12,,9.0,9.0,,,,16.0,
,,,,,,,,15.0,,,,,,1.0,,,,,,,,,1.0,,8.0,,,59895,,,,,,,705.0,,,,,,,15.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,10075.0,,,193.0,62.0,,28,,,,,28,,,,93.0,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,67.0,,,,,2.0,1.0,,,1.0,,18,,33,,,,,,13,,9.0,9.0,,,,16.0,
,,,,,,,,15.0,,,,,,1.0,,,,,,,,,1.0,,8.0,,,66358,,,,,,,705.0,,,,,,,49.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,11364.0,,,251.0,155.0,,29,,,,,28,,,,110.0,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,72.0,,,,,2.0,1.0,,,1.0,,18,,33,,,,,,13,,9.0,9.0,,,,16.0,
,,,,,,,,15.0,,,,,,1.0,,,,,,,,,1.0,,8.0,,,68413,,,,,,,705.0,,,,,,,55.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,12729.0,,,255.0,229.0,,43,,,,,28,,,,99.0,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,75.0,,,,,6.0,1.0,,,1.0,,18,,33,,,,,,13,,13.0,13.0,,,,16.0,
,,,,,,,,15.0,,,,,,1.0,,,,,,,,,1.0,,8.0,,,70513,,,,,,,706.0,,,,,,,59.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,13938.0,,,,322.0,,59,,,,,29,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,77.0,,,,,13.0,1.0,,,1.0,,20,,34,,,,,,13,,13.0,13.0,,,,16.0,
,,,,,,,,19.0,,,,,,2.0,,,,,,,,,1.0,,9.0,,,72434,,,,,,,706.0,,,,,,,60.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,14991.0,,,,453.0,,66,,,,,30,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,81.0,,,,,15.0,1.0,,,2.0,,22,,35,,,,,,13,,13.0,13.0,,,,16.0,
,,,,,,,,22.0,,,,,,8.0,,,,,,,,,1.0,,9.0,,,74211,,,,,,,706.0,,,,,,,67.0,,,,,1.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,,,,,655.0,,74,,,,,31,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,84.0,,,,,32.0,1.0,,,7.0,,22,,35,,,,,,13,,13.0,15.0,,,,16.0,
,,,,,,,,22.0,,,,,,13.0,,,,,,,,,1.0,,9.0,,,74619,,,,,,,696.0,,,,,,,80.0,,,,,2.0,12.0,,,,16.0,,,,,,,,,,,,,,3.0,,,,,,888.0,,84,,,,,31,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,84.0,,,,,45.0,1.0,,,7.0,,23,,35,,,,,,13,,13.0,20.0,,,,16.0,
,,,,,,,,22.0,,,,,,23.0,,,,,,,,,1.0,,10.0,,,75077,,,,,,,696.0,,,,,,,109.0,,,,,2.0,12.0,,,,17.0,,,,,,,,,,,,,,3.0,,,,,,1128.0,,94,,,,,104,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,85.0,,,,,84.0,1.0,,,12.0,,24,,35,,,,,,13,,13.0,23.0,,,,16.0,
